CityId,Date,TimeOfDay,Cloudy,Phenomena,Precipitation,Pressure,Temperature,WindDirection,WindSpeed
1,01.07.2021,0,0,5,0,760,21,0,5
1,02.07.2021,0,2,4,2,746,17,6,4
1,03.07.2021,0,3,4,1,748,20,6,2
1,04.07.2021,0,1,1,2,749,18,5,2
1,05.07.2021,0,0,6,1,749,17,0,0
1,06.07.2021,0,3,5,1,755,25,1,4
1,07.07.2021,0,0,3,1,751,19,6,0
1,08.07.2021,0,0,3,0,760,34,5,3
1,09.07.2021,0,3,3,2,750,24,7,5
1,10.07.2021,0,2,3,4,760,34,4,4
1,11.07.2021,0,0,3,4,750,34,7,0
1,12.07.2021,0,3,4,1,749,17,4,2
1,13.07.2021,0,1,4,4,752,29,3,3
1,14.07.2021,0,3,5,0,752,30,4,3
1,15.07.2021,0,2,6,5,744,30,1,5
1,16.07.2021,0,1,2,1,757,31,4,4
1,17.07.2021,0,1,6,0,741,27,0,5
1,18.07.2021,0,2,2,2,753,34,7,1
1,19.07.2021,0,1,2,3,758,30,1,0
1,20.07.2021,0,2,4,2,742,33,4,0
1,21.07.2021,0,0,3,5,747,26,2,5
1,22.07.2021,0,2,5,0,748,32,2,3
1,23.07.2021,0,3,6,2,742,15,5,0
1,24.07.2021,0,0,1,2,755,20,1,1
1,25.07.2021,0,3,0,1,740,22,3,1
1,26.07.2021,0,3,0,2,758,28,1,5
1,27.07.2021,0,2,1,1,744,18,2,3
1,28.07.2021,0,0,5,1,742,32,2,0
1,29.07.2021,0,1,4,4,757,19,3,2
1,30.07.2021,0,0,5,1,758,31,5,1
1,01.07.2021,1,0,1,0,760,16,0,5
1,02.07.2021,1,0,5,5,746,12,6,4
1,03.07.2021,1,3,2,2,748,15,6,2
1,04.07.2021,1,2,6,5,749,13,5,2
1,05.07.2021,1,0,2,0,749,12,0,0
1,06.07.2021,1,3,1,2,755,20,1,4
1,07.07.2021,1,0,1,0,751,14,6,0
1,08.07.2021,1,0,3,5,760,29,5,3
1,09.07.2021,1,3,5,1,750,19,7,5
1,10.07.2021,1,2,1,3,760,29,4,4
1,11.07.2021,1,0,6,5,750,29,7,0
1,12.07.2021,1,3,5,5,749,12,4,2
1,13.07.2021,1,1,6,0,752,24,3,3
1,14.07.2021,1,3,4,3,752,25,4,3
1,15.07.2021,1,1,5,0,744,25,1,5
1,16.07.2021,1,1,4,3,757,26,4,4
1,17.07.2021,1,2,5,3,741,22,0,5
1,18.07.2021,1,2,0,0,753,29,7,1
1,19.07.2021,1,1,0,0,758,25,1,0
1,20.07.2021,1,2,4,2,742,28,4,0
1,21.07.2021,1,0,3,0,747,21,2,5
1,22.07.2021,1,2,1,5,748,27,2,3
1,23.07.2021,1,3,5,1,742,10,5,0
1,24.07.2021,1,0,5,1,755,15,1,1
1,25.07.2021,1,3,1,5,740,17,3,1
1,26.07.2021,1,3,6,5,758,23,1,5
1,27.07.2021,1,2,2,0,744,13,2,3
1,28.07.2021,1,0,2,2,742,27,2,0
1,29.07.2021,1,1,6,0,757,14,3,2
1,30.07.2021,1,0,5,3,758,26,5,1
